FROGAncestryCalc_Population,Source_Database,Pop_Code_1000G,Full_Name_1000G,Superpopulation_1000G,Superpopulation_Full_Name
Taiwanese Han,ALFRED/HGDP/Other,,,,
Ami,ALFRED/HGDP/Other,,,,
Hakka,ALFRED/HGDP/Other,,,,
Biaka,ALFRED/HGDP/Other,,,,
Mbuti,ALFRED/HGDP/Other,,,,
Danes,ALFRED/HGDP/Other,,,,
San Francisco Chinese,ALFRED/HGDP/Other,,,,
Japanese,ALFRED/HGDP/Other,,,,
Yakut,ALFRED/HGDP/Other,,,,
Nasioi speakers,ALFRED/HGDP/Other,,,,
Maya-Yucatec,ALFRED/HGDP/Other,,,,
Surui-Rondonia,ALFRED/HGDP/Other,,,,
Ethiopian Jews,ALFRED/HGDP/Other,,,,
Yemenite Jews,ALFRED/HGDP/Other,,,,
Adygei,ALFRED/HGDP/Other,,,,
Finns,ALFRED/HGDP/Other,,,,
Russians,ALFRED/HGDP/Other,,,,
Mixed Europeans,ALFRED/HGDP/Other,,,,
Atayal,ALFRED/HGDP/Other,,,,
Cambodian,ALFRED/HGDP/Other,,,,
Plains Amerindians,ALFRED/HGDP/Other,,,,
Southwest Amerindians,ALFRED/HGDP/Other,,,,
Mexican Pima,ALFRED/HGDP/Other,,,,
Ticuna,ALFRED/HGDP/Other,,,,
Karitiana,ALFRED/HGDP/Other,,,,
Yoruba,ALFRED/HGDP/Other,,,,
Kachari,ALFRED/HGDP/Other,,,,
Druze,ALFRED/HGDP/Other,,,,
Guihiba speakers,ALFRED/HGDP/Other,,,,
Irish,ALFRED/HGDP/Other,,,,
Micronesians,ALFRED/HGDP/Other,,,,
Peruvian Quechuan,ALFRED/HGDP/Other,,,,
Samoans,ALFRED/HGDP/Other,,,,
Thoti,ALFRED/HGDP/Other,,,,
Papuan New Guinean,ALFRED/HGDP/Other,,,,
Roman Jews,ALFRED/HGDP/Other,,,,
Malaysians,ALFRED/HGDP/Other,,,,
Samaritans,ALFRED/HGDP/Other,,,,
Ibo,ALFRED/HGDP/Other,,,,
Hausa,ALFRED/HGDP/Other,,,,
African Americans,ALFRED/HGDP/Other,,,,
Chagga,ALFRED/HGDP/Other,,,,
Khanty,ALFRED/HGDP/Other,,,,
Komi-Zyrian,ALFRED/HGDP/Other,,,,
Ashkenazi Jews,ALFRED/HGDP/Other,,,,
Chuvash,ALFRED/HGDP/Other,,,,
Masai,ALFRED/HGDP/Other,,,,
Koreans,ALFRED/HGDP/Other,,,,
Russians-Archangel'sk,ALFRED/HGDP/Other,,,,
Sandawe,ALFRED/HGDP/Other,,,,
Lao Long,ALFRED/HGDP/Other,,,,
Keralite,ALFRED/HGDP/Other,,,,
Hungarians,ALFRED/HGDP/Other,,,,
Negroid Makrani,ALFRED/HGDP/Other,,,,
Somali,ALFRED/HGDP/Other,,,,
Mohannas,ALFRED/HGDP/Other,,,,
Hazaras,ALFRED/HGDP/Other,,,,
Khazaks,ALFRED/HGDP/Other,,,,
Inner Mongolians,ALFRED/HGDP/Other,,,,
Baima Dee,ALFRED/HGDP/Other,,,,
Qiang,ALFRED/HGDP/Other,,,,
Khamba Tibetan,ALFRED/HGDP/Other,,,,
Zaramo,ALFRED/HGDP/Other,,,,
Kuwaiti,ALFRED/HGDP/Other,,,,
Palestinian Arabs,ALFRED/HGDP/Other,,,,
Greeks,ALFRED/HGDP/Other,,,,
Sardinian,ALFRED/HGDP/Other,,,,
Lisongo,ALFRED/HGDP/Other,,,,
Pathan,ALFRED/HGDP/Other,,,,
Outer Mongolians,ALFRED/HGDP/Other,,,,
Tsaatan,ALFRED/HGDP/Other,,,,
Luhya(LWK),1000 Genomes Phase 3,LWK,Luhya in Webuye Kenya,AFR,African
African American(ASW),1000 Genomes Phase 3,ASW,African Ancestry in Southwest US,AFR,African
Yoruba(YRI),1000 Genomes Phase 3,YRI,Yoruba in Ibadan Nigeria,AFR,African
Finns(FIN),1000 Genomes Phase 3,FIN,Finnish in Finland,EUR,European
British(GBR),1000 Genomes Phase 3,GBR,British in England and Scotland,EUR,European
Toscani(TSI),1000 Genomes Phase 3,TSI,Toscani in Italy,EUR,European
Han Chinese(CHB),1000 Genomes Phase 3,CHB,Han Chinese in Beijing China,EAS,East Asian
Han Chinese(CHS),1000 Genomes Phase 3,CHS,Han Chinese South,EAS,East Asian
Japanese(JPT),1000 Genomes Phase 3,JPT,Japanese in Tokyo Japan,EAS,East Asian
Iberian(IBS),1000 Genomes Phase 3,IBS,Iberian populations in Spain,EUR,European
Chinese Dai(CDX),1000 Genomes Phase 3,CDX,Chinese Dai in Xishuangbanna China,EAS,East Asian
Bengali(BEB),1000 Genomes Phase 3,BEB,Bengali in Bangladesh,SAS,South Asian
Punjabi(PJL),1000 Genomes Phase 3,PJL,Punjabi in Lahore Pakistan,SAS,South Asian
Sri Lankan Tamil(STU),1000 Genomes Phase 3,STU,Sri Lankan Tamil in the UK,SAS,South Asian
Gambian(GWD),1000 Genomes Phase 3,GWD,Gambian in Western Division The Gambia,AFR,African
Mende(MSL),1000 Genomes Phase 3,MSL,Mende in Sierra Leone,AFR,African
Peruvian(PEL),1000 Genomes Phase 3,PEL,Peruvian in Lima Peru,AMR,Admixed American
Gujarati(GIH),1000 Genomes Phase 3,GIH,Gujarati Indian in Houston TX,SAS,South Asian
Telugu(ITU),1000 Genomes Phase 3,ITU,Indian Telugu in the UK,SAS,South Asian
Esan(ESN),1000 Genomes Phase 3,ESN,Esan in Nigeria,AFR,African
Vietnamese(KHV),1000 Genomes Phase 3,KHV,Kinh in Ho Chi Minh City Vietnam,EAS,East Asian
Mixed Europeans(CEU),1000 Genomes Phase 3,CEU,Utah residents (CEPH) with Northern and Western European ancestry,EUR,European
Nebeur-Tunisia,ALFRED/HGDP/Other,,,,
Kesra-Tunisia,ALFRED/HGDP/Other,,,,
Kairoun-Tunisia,ALFRED/HGDP/Other,,,,
Sousse-Tunisia,ALFRED/HGDP/Other,,,,
Mehdia-Tunisia,ALFRED/HGDP/Other,,,,
Kerkennah-Tunisia,ALFRED/HGDP/Other,,,,
Smar-South Tunisia,ALFRED/HGDP/Other,,,,
Lybia,ALFRED/HGDP/Other,,,,
Tibetan(Tibet),ALFRED/HGDP/Other,,,,
Mongols(Inner Mongolia),ALFRED/HGDP/Other,,,,
Hui(Ningxia),ALFRED/HGDP/Other,,,,
Han(Shaanxi),ALFRED/HGDP/Other,,,,
Miao(Guizhou),ALFRED/HGDP/Other,,,,
Han(Yunnan),ALFRED/HGDP/Other,,,,
Li,ALFRED/HGDP/Other,,,,
Iranians,ALFRED/HGDP/Other,,,,
Turkish,ALFRED/HGDP/Other,,,,
Aboriginals,ALFRED/HGDP/Other,,,,
Dong(Guangxi),ALFRED/HGDP/Other,,,,
Han(Guangdong),ALFRED/HGDP/Other,,,,
Han(Guangzhou),ALFRED/HGDP/Other,,,,
Jing(Guangxi),ALFRED/HGDP/Other,,,,
Miao(Guangxi),ALFRED/HGDP/Other,,,,
Hakka(Meizhou),ALFRED/HGDP/Other,,,,
Han(Guangxi),ALFRED/HGDP/Other,,,,
Tu,ALFRED/HGDP/Other,,,,
Han(Shandong),ALFRED/HGDP/Other,,,,
Yi,ALFRED/HGDP/Other,,,,
Tibetans,ALFRED/HGDP/Other,,,,
Xibo,ALFRED/HGDP/Other,,,,
Kazak,ALFRED/HGDP/Other,,,,
Kirghiz,ALFRED/HGDP/Other,,,,
Tajiks,ALFRED/HGDP/Other,,,,
Va(Yunnan),ALFRED/HGDP/Other,,,,
Dai,ALFRED/HGDP/Other,,,,
Bai,ALFRED/HGDP/Other,,,,
Va(Burma),ALFRED/HGDP/Other,,,,
Turkish Cypriots,ALFRED/HGDP/Other,,,,
Saudi,ALFRED/HGDP/Other,,,,
UAE-Arabs,ALFRED/HGDP/Other,,,,
Yavapai,ALFRED/HGDP/Other,,,,
Greenlanders,ALFRED/HGDP/Other,,,,
Basque,ALFRED/HGDP/Other,,,,
Afro-Ecuadorian,ALFRED/HGDP/Other,,,,
Kichwa,ALFRED/HGDP/Other,,,,
Ecuadorian Mestizo,ALFRED/HGDP/Other,,,,
Mainland Japanese,ALFRED/HGDP/Other,,,,
Okinawa Japanese,ALFRED/HGDP/Other,,,,
Liangshan Tibetan,ALFRED/HGDP/Other,,,,
Chengdu Tibetans,ALFRED/HGDP/Other,,,,
Qinghai Tibetans,ALFRED/HGDP/Other,,,,
Yi(Sichuan),ALFRED/HGDP/Other,,,,
Turks,ALFRED/HGDP/Other,,,,
Iranians,ALFRED/HGDP/Other,,,,
Danes,ALFRED/HGDP/Other,,,,
Somalis,ALFRED/HGDP/Other,,,,
Southern Tunisians,ALFRED/HGDP/Other,,,,
Chaldeans,ALFRED/HGDP/Other,,,,
Yazidis,ALFRED/HGDP/Other,,,,
Kurds,ALFRED/HGDP/Other,,,,
Arabs from Northern Iraq,ALFRED/HGDP/Other,,,,
Turkmen,ALFRED/HGDP/Other,,,,
Shabaks,ALFRED/HGDP/Other,,,,
Syriacs,ALFRED/HGDP/Other,,,,
Greek Cypriots,ALFRED/HGDP/Other,,,,
Norwegians,ALFRED/HGDP/Other,,,,
Qatari,ALFRED/HGDP/Other,,,,
