,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,data_source,nonzero_mean
0,LQhCAGE CL:0000077,+,LQhCAGE,CL:0000077,mesothelial cell,primary_cell,fantom,272.4184265136719
1,LQhCAGE CL:0000136,+,LQhCAGE,CL:0000136,fat cell,primary_cell,fantom,41.71626663208008
2,LQhCAGE CL:0000767,+,LQhCAGE,CL:0000767,basophil,primary_cell,fantom,59.45576095581055
3,LQhCAGE CL:0000771,+,LQhCAGE,CL:0000771,eosinophil,primary_cell,fantom,119.22451782226562
4,LQhCAGE CL:0000775,+,LQhCAGE,CL:0000775,neutrophil,primary_cell,fantom,339.38720703125
5,LQhCAGE CL:0000784,+,LQhCAGE,CL:0000784,plasmacytoid dendritic cell,primary_cell,fantom,103.1607666015625
6,LQhCAGE CL:0000840,+,LQhCAGE,CL:0000840,immature conventional dendritic cell,primary_cell,fantom,826.5433959960938
7,LQhCAGE CL:0000895,+,LQhCAGE,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,fantom,91.95846557617188
8,LQhCAGE CL:0002092,+,LQhCAGE,CL:0002092,bone marrow cell,primary_cell,fantom,112.50702667236328
9,LQhCAGE CL:0002166,+,LQhCAGE,CL:0002166,epithelial cell of Malassez,primary_cell,fantom,278.642333984375
10,LQhCAGE CL:0002167,+,LQhCAGE,CL:0002167,olfactory epithelial cell,primary_cell,fantom,78.36111450195312
11,LQhCAGE CL:0002193,+,LQhCAGE,CL:0002193,myelocyte,primary_cell,fantom,242.18133544921875
12,LQhCAGE CL:0002397,+,LQhCAGE,CL:0002397,"CD14-positive, CD16-positive monocyte",primary_cell,fantom,75.36024475097656
13,LQhCAGE CL:0002677,+,LQhCAGE,CL:0002677,naive regulatory T cell,primary_cell,fantom,60.0953369140625
14,LQhCAGE UBERON:0012168,+,LQhCAGE,UBERON:0012168,umbilical cord blood,primary_cell,fantom,1110.8236083984375
15,hCAGE CL:0000047,+,hCAGE,CL:0000047,neuronal stem cell,primary_cell,fantom,12.134684562683105
16,hCAGE CL:0000062,+,hCAGE,CL:0000062,osteoblast,primary_cell,fantom,30.61863136291504
17,hCAGE CL:0000077,+,hCAGE,CL:0000077,mesothelial cell,primary_cell,fantom,41.45215606689453
18,hCAGE CL:0000097,+,hCAGE,CL:0000097,mast cell,primary_cell,fantom,6.240642070770264
19,hCAGE CL:0000134,+,hCAGE,CL:0000134,mesenchymal cell,primary_cell,fantom,37.52719497680664
20,hCAGE CL:0000138,+,hCAGE,CL:0000138,chondrocyte,primary_cell,fantom,21.439882278442383
21,hCAGE CL:0000182,+,hCAGE,CL:0000182,hepatocyte,primary_cell,fantom,34.04872131347656
22,hCAGE CL:0000188,+,hCAGE,CL:0000188,cell of skeletal muscle,primary_cell,fantom,24.676044464111328
23,hCAGE CL:0000214,+,hCAGE,CL:0000214,synovial cell,primary_cell,fantom,14.118721961975098
24,hCAGE CL:0000216,+,hCAGE,CL:0000216,Sertoli cell,primary_cell,fantom,276.9911193847656
