,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,transcription_factor,data_source,endedness,genetically_modified,nonzero_mean
0,CL:0000062 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,CTCF,encode,single,False,1.4646735191345215
1,CL:0000115 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000115,endothelial cell,in_vitro_differentiated_cells,adult,CTCF,encode,single,False,0.8410728573799133
2,CL:0000127 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000127,astrocyte,primary_cell,unknown,CTCF,encode,single,False,1.3933230638504028
3,CL:0000127 TF ChIP-seq EZH2,.,TF ChIP-seq,CL:0000127,astrocyte,primary_cell,unknown,EZH2,encode,single,False,0.9597448110580444
4,CL:0000137 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000137,osteocyte,in_vitro_differentiated_cells,embryonic,CTCF,encode,single,False,0.8397707939147949
5,CL:0000138 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000138,chondrocyte,in_vitro_differentiated_cells,embryonic,CTCF,encode,single,False,0.890338122844696
6,CL:0000169 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000169,type B pancreatic cell,in_vitro_differentiated_cells,embryonic,CTCF,encode,single,False,0.8720378875732422
7,CL:0000182 TF ChIP-seq EZH2,.,TF ChIP-seq,CL:0000182,hepatocyte,in_vitro_differentiated_cells,embryonic,EZH2,encode,single,False,0.8334417343139648
8,CL:0000223 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000223,endodermal cell,in_vitro_differentiated_cells,embryonic,CTCF,encode,single,False,0.8123546838760376
9,CL:0000236 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000236,B cell,primary_cell,adult,CTCF,encode,single,False,0.8002703189849854
10,CL:0000312 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000312,keratinocyte,primary_cell,unknown,CTCF,encode,single,False,1.284648060798645
11,CL:0000312 TF ChIP-seq EZH2,.,TF ChIP-seq,CL:0000312,keratinocyte,primary_cell,unknown,EZH2,encode,single,False,0.9830278158187866
12,CL:0000515 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000515,skeletal muscle myoblast,primary_cell,adult,CTCF,encode,single,False,1.5029479265213013
13,CL:0000623 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000623,natural killer cell,primary_cell,adult,CTCF,encode,single,False,0.7805054783821106
14,CL:0000624 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,CTCF,encode,single,False,0.7936105728149414
15,CL:0000625 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,CTCF,encode,single,False,0.7929967045783997
16,CL:0000679 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,adult,CTCF,encode,single,False,0.7829425930976868
17,"CL:0000679 TF ChIP-seq EGR1 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens EGR1, genetically modified (insertion) using TALEN inserting M. musculus Neurog2",.,TF ChIP-seq,CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,unknown,EGR1,encode,paired,True,0.8382269144058228
18,"CL:0000679 TF ChIP-seq FOSL1 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens FOSL1, genetically modified (insertion) using TALEN inserting M. musculus Neurog2",.,TF ChIP-seq,CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,unknown,FOSL1,encode,paired,True,0.8304189443588257
19,"CL:0000679 TF ChIP-seq ID3 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens ID3, genetically modified (insertion) using TALEN inserting M. musculus Neurog2",.,TF ChIP-seq,CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,unknown,ID3,encode,paired,True,0.804589033126831
20,"CL:0000679 TF ChIP-seq TOX4 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens TOX4, genetically modified (insertion) using TALEN inserting M. musculus Neurog2",.,TF ChIP-seq,CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,unknown,TOX4,encode,paired,True,0.8099984526634216
21,CL:0000706 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000706,choroid plexus epithelial cell,primary_cell,unknown,CTCF,encode,single,False,1.1716891527175903
22,CL:0000746 TF ChIP-seq CTCF,.,TF ChIP-seq,CL:0000746,cardiac muscle cell,primary_cell,unknown,CTCF,encode,single,False,1.1875473260879517
