,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source,endedness,genetically_modified,nonzero_mean
0,CL:0000047 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.14361684024333954
1,CL:0000062 total RNA-seq,+,total RNA-seq,CL:0000062,osteoblast,primary_cell,adult,,encode,paired,False,0.09414368867874146
2,CL:0000084 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000084,T-cell,primary_cell,adult,,encode,paired,False,0.1242961511015892
3,CL:0000084 total RNA-seq,+,total RNA-seq,CL:0000084,T-cell,primary_cell,adult,,encode,single,False,0.1009339839220047
4,CL:0000115 total RNA-seq,+,total RNA-seq,CL:0000115,endothelial cell,in_vitro_differentiated_cells,adult,,encode,single,False,0.13555292785167694
5,CL:0000127 total RNA-seq,+,total RNA-seq,CL:0000127,astrocyte,primary_cell,unknown,,encode,paired,False,0.8591042757034302
6,CL:0000134 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000134,mesenchymal stem cell,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.24195873737335205
7,CL:0000137 total RNA-seq,+,total RNA-seq,CL:0000137,osteocyte,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.15089336037635803
8,CL:0000138 total RNA-seq,+,total RNA-seq,CL:0000138,chondrocyte,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.14311158657073975
9,CL:0000169 total RNA-seq,+,total RNA-seq,CL:0000169,type B pancreatic cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.1288493126630783
10,CL:0000182 total RNA-seq,+,total RNA-seq,CL:0000182,hepatocyte,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.11700818687677383
11,CL:0000187 total RNA-seq,+,total RNA-seq,CL:0000187,myocyte,in_vitro_differentiated_cells,adult,,encode,paired,False,0.16801898181438446
12,CL:0000192 total RNA-seq,+,total RNA-seq,CL:0000192,smooth muscle cell,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.17651152610778809
13,CL:0000221 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000221,ectodermal cell,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.12823955714702606
14,CL:0000222 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000222,mesodermal cell,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.2540099322795868
15,CL:0000223 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000223,endodermal cell,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.18341697752475739
