trial_id,model,pca_k,pca_cache,params_json,label,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,fit_seconds
1,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.001, ""calibrate_probabilities"": false}",C=0.001 cal=False,0.9988998899889989,0.9989063233808761,0.9988998899889989,0.9988994582393843,0.764102564102564,0.7730408310579668,0.764102564102564,0.7660651217395267,10.1677
2,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.001, ""calibrate_probabilities"": true}",C=0.001 cal=True,0.933993399339934,0.9448582927728113,0.933993399339934,0.9279506222078888,0.8205128205128205,0.8268794326241135,0.8205128205128205,0.8016080182341083,22.7761
3,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.01, ""calibrate_probabilities"": false}",C=0.01 cal=False,1.0,1.0,1.0,1.0,0.7589743589743589,0.7742354862761,0.7589743589743589,0.7644582915647123,22.5484
4,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.01, ""calibrate_probabilities"": true}",C=0.01 cal=True,0.9405940594059405,0.9501423992503932,0.9405940594059405,0.9358087039959057,0.8153846153846154,0.8110265098414919,0.8153846153846154,0.7937820358636838,10.865
5,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.1, ""calibrate_probabilities"": false}",C=0.1 cal=False,1.0,1.0,1.0,1.0,0.7435897435897436,0.759324404525643,0.7435897435897436,0.7489948114653071,39.1522
6,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 0.1, ""calibrate_probabilities"": true}",C=0.1 cal=True,0.9405940594059405,0.9501423992503932,0.9405940594059405,0.9358087039959057,0.8153846153846154,0.8110265098414919,0.8153846153846154,0.7937820358636838,4.3872
7,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 1.0, ""calibrate_probabilities"": false}",C=1.0 cal=False,1.0,1.0,1.0,1.0,0.7435897435897436,0.759324404525643,0.7435897435897436,0.7489948114653071,39.2948
8,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 1.0, ""calibrate_probabilities"": true}",C=1.0 cal=True,0.9405940594059405,0.9501423992503932,0.9405940594059405,0.9358087039959057,0.8153846153846154,0.8110265098414919,0.8153846153846154,0.7937820358636838,4.3714
9,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 10.0, ""calibrate_probabilities"": false}",C=10.0 cal=False,1.0,1.0,1.0,1.0,0.7435897435897436,0.759324404525643,0.7435897435897436,0.7489948114653071,38.1605
10,SVM,300,rna_seq_H1_32768_ds1_log_shuf_split0.7-0.15-0.15_seed13_pca300,"{""C"": 10.0, ""calibrate_probabilities"": true}",C=10.0 cal=True,0.9405940594059405,0.9501423992503932,0.9405940594059405,0.9358087039959057,0.8153846153846154,0.8110265098414919,0.8153846153846154,0.7937820358636838,3.8822
